"0,010","0,011","0,010","0,0105","0,0005","-0,0005","5,000"
"0,035","0,036","0,034","0,035","0,000","0,000","0,000"
"0,050","0,050","0,050","0,050","0,000","0,000","0,000"
"0,060","0,065","0,060","0,0625","0,0025","-0,0025","4,170"
"0,070","0,070","0,070","0,070","0,000","0,000","0,000"
"0,100","0,110","0,100","0,105","0,005","-0,005","5,000"
"0,110","0,111","0,109","0,110","0,000","0,000","0,000"
"0,120","0,130","0,120","0,125","0,005","-0,005","4,170"
"0,155","0,156","0,154","0,155","0,000","0,000","0,000"
"0,185","0,186","0,187","0,187","0,0015","-0,0015","0,810"
