Радио,Сверхдлинные,\>10км,\<30кГц,"Атмосферные и магнитосферные явления. Радиосвязь"
rowspan,Длинные,"10км --- 1км","30кГц --- 300кГц",rowspan
rowspan,Средние,"1км --- 100м","3МГц --- 30МГц",rowspan
rowspan,Короткие,"100м --- 10м","3МГц --- 300ГГц",rowspan
rowspan,Ультракороткие,"10м --- 1мм","30МГц --- 300ГГц",rowspan
"Инфракрасное излучение",colspan,"1мм --- 780нм","300ГГц --- 429ТГц","Излучение молекул и атомов при тепловых и электрических воздействиях"
"Видимое излучение",colspan,"780 нм --- 380 нм","429 ТГц --- 750ТГц",rowspan
"Ультрафиолет",colspan,"380 нм --- 10 нм","$7,5 dot 10^14$ Гц --- $3 dot 10^16$ Гц","Излучение атомов под воздействием ускоренных электронов"
"Рентген",colspan,"10 нм --- 5 пм","$3 dot 10^16$ Гц --- $6 dot 10^19$ Гц","Атомные процессы при воздействии ускоренных заряженных частиц"
"Гамма",colspan,"\<5 пм","$>6*10^19$ Гц","Ядерные и космические процессы, радиоактивный распад"
